LAMBDA_NM,THROUGHPUT
500.000,0.000000000000000
501.000,0.000000000000000
502.000,0.000000000000000
503.000,0.000000000000000
504.000,0.000000000000000
505.000,0.000000000000000
506.000,0.000000000000000
507.000,0.000000000000000
508.000,0.000000000000000
509.000,0.000000000000000
510.000,0.000000000000000
511.000,0.000000000000000
512.000,0.000000000000000
513.000,0.000000000000000
514.000,0.000000000000000
515.000,0.000000000000000
516.000,0.000000000000000
517.000,0.000000000000000
518.000,0.000000000000000
519.000,0.000000000000000
520.000,0.000000000000000
521.000,0.000000000000000
522.000,0.000000000000000
523.000,0.000000000000000
524.000,0.000000000000000
525.000,0.000000000000000
526.000,0.000000000000000
527.000,0.000000000000000
528.000,0.000000000000000
529.000,0.000000000000000
530.000,0.000000000000000
531.000,0.000000000000000
532.000,0.000000000000000
533.000,0.000000000000000
534.000,0.000000000000000
535.000,0.000000000000000
536.000,0.000000000000000
537.000,0.000000000000000
538.000,0.000000000000000
539.000,0.000000000000000
540.000,0.000000000000000
541.000,0.000000000000000
542.000,0.000000000000000
543.000,0.000000000000000
544.000,0.000000000000000
545.000,0.000000000000000
546.000,0.000000000000000
547.000,0.000000000000000
548.000,0.000000000000000
549.000,0.000000000000000
550.000,0.000000000000000
551.000,0.000000000000000
552.000,0.000000000000000
553.000,0.000000000000000
554.000,0.000000000000000
555.000,0.000000000000000
556.000,0.000000000000000
557.000,0.000000000000000
558.000,0.000000000000000
559.000,0.01167853642255068
560.000,0.04648362472653389
561.000,0.08187057077884674
562.000,0.1293297857046127
563.000,0.2137455642223358
564.000,0.2874448597431183
565.000,0.3374363481998444
566.000,0.3840328156948090
567.000,0.3940344750881195
568.000,0.4027406871318817
569.000,0.4109297394752502
570.000,0.4151100516319275
571.000,0.4177342653274536
572.000,0.4203616678714752
573.000,0.4229993522167206
574.000,0.4259156286716461
575.000,0.4290344715118408
576.000,0.4322056472301483
577.000,0.4353733956813812
578.000,0.4381325542926788
579.000,0.4409759342670441
580.000,0.4438839852809906
581.000,0.4447492361068726
582.000,0.4446797072887421
583.000,0.4445904493331909
584.000,0.4444579780101776
585.000,0.4442687630653381
586.000,0.4439717829227448
587.000,0.4433452188968658
588.000,0.4422005116939545
589.000,0.4410690963268280
590.000,0.4401904046535492
591.000,0.4389083087444305
592.000,0.4375077784061432
593.000,0.4360972940921783
594.000,0.4340491294860840
595.000,0.4321337342262268
596.000,0.4305721521377563
597.000,0.4287970364093781
598.000,0.4269139468669891
599.000,0.4251739084720612
600.000,0.4244335293769836
601.000,0.4235554039478302
602.000,0.4225795865058899
603.000,0.4215513169765472
604.000,0.4205543696880341
605.000,0.4196204841136932
606.000,0.4187354147434235
607.000,0.4179015457630157
608.000,0.4171115756034851
609.000,0.4163547754287720
610.000,0.4172307550907135
611.000,0.4189896583557129
612.000,0.4207514226436615
613.000,0.4225640892982483
614.000,0.4248410463333130
615.000,0.4270972013473511
616.000,0.4293394386768341
617.000,0.4313770532608032
618.000,0.4333235025405884
619.000,0.4352681934833527
620.000,0.4363876283168793
621.000,0.4344232976436615
622.000,0.4324565231800079
623.000,0.4306167662143707
624.000,0.4287849962711334
625.000,0.4268546402454376
626.000,0.4241912961006165
627.000,0.4198798537254333
628.000,0.4156956076622009
629.000,0.4137769341468811
630.000,0.4138891100883484
631.000,0.4160463213920593
632.000,0.4180044531822205
633.000,0.4196983575820923
634.000,0.4211341440677643
635.000,0.4224432706832886
636.000,0.4237144291400909
637.000,0.4252195954322815
638.000,0.4267005920410156
639.000,0.4281577467918396
640.000,0.4296129345893860
641.000,0.4310294985771179
642.000,0.4323914945125580
643.000,0.4336399137973785
644.000,0.4348597824573517
645.000,0.4359260797500610
646.000,0.4366658926010132
647.000,0.4373457729816437
648.000,0.4385315775871277
649.000,0.4404523372650146
650.000,0.4425488710403442
651.000,0.4442171454429626
652.000,0.4454997777938843
653.000,0.4471909701824188
654.000,0.4485523402690887
655.000,0.4496632516384125
656.000,0.4510422050952911
657.000,0.4528459608554840
658.000,0.4547367990016937
659.000,0.4565602838993073
660.000,0.4567336738109589
661.000,0.4563355743885040
662.000,0.4557695388793945
663.000,0.4552124440670013
664.000,0.4546616077423096
665.000,0.4541209340095520
666.000,0.4534248411655426
667.000,0.4527540504932404
668.000,0.4521217346191406
669.000,0.4515200257301331
670.000,0.4503384232521057
671.000,0.4479705095291138
672.000,0.4455899894237518
673.000,0.4431848824024200
674.000,0.4407449960708618
675.000,0.4385772347450256
676.000,0.4365144968032837
677.000,0.4342620372772217
678.000,0.4317158758640289
679.000,0.4290648698806763
680.000,0.4247184693813324
681.000,0.4199661314487457
682.000,0.4151611328125000
683.000,0.4100973904132843
684.000,0.4047434628009796
685.000,0.3957337737083435
686.000,0.3745613396167755
687.000,0.3484970629215240
688.000,0.3236136436462402
689.000,0.2857271134853363
690.000,0.2486503422260284
691.000,0.2124806195497513
692.000,0.1737437546253204
693.000,0.1321473568677902
694.000,0.08912775665521622
695.000,0.04564764350652695
696.000,0.01890274137258530
697.000,0.005906648002564907
698.000,0.000000000000000
699.000,0.000000000000000
700.000,0.000000000000000
701.000,0.000000000000000
702.000,0.000000000000000
703.000,0.000000000000000
704.000,0.000000000000000
705.000,0.000000000000000
706.000,0.000000000000000
707.000,0.000000000000000
708.000,0.000000000000000
709.000,0.000000000000000
710.000,0.000000000000000
711.000,0.000000000000000
712.000,0.000000000000000
713.000,0.000000000000000
714.000,0.000000000000000
715.000,0.000000000000000
716.000,0.000000000000000
717.000,0.000000000000000
718.000,0.000000000000000
719.000,0.000000000000000
720.000,0.000000000000000
721.000,0.000000000000000
722.000,0.000000000000000
723.000,0.000000000000000
724.000,0.000000000000000
725.000,0.000000000000000
726.000,0.000000000000000
727.000,0.000000000000000
728.000,0.000000000000000
729.000,0.000000000000000
730.000,0.000000000000000
731.000,0.000000000000000
732.000,0.000000000000000
733.000,0.000000000000000
734.000,0.000000000000000
735.000,0.000000000000000
736.000,0.000000000000000
737.000,0.000000000000000
738.000,0.000000000000000
739.000,0.000000000000000
740.000,0.000000000000000
741.000,0.000000000000000
742.000,0.000000000000000
743.000,0.000000000000000
744.000,0.000000000000000
745.000,0.000000000000000
746.000,0.000000000000000
747.000,0.000000000000000
748.000,0.000000000000000
749.000,0.000000000000000
750.000,0.000000000000000
